,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES
103,USA,M.Sc,M.Sc in Physics,4447336.5
104,USA,M.Sc,M.Sc in Chemistry,4613748.0
105,USA,M.Sc,M.Sc in Biology,4863364.5
106,USA,M.Sc,M.Sc in Psychology ,2492172.8
107,USA,M.Sc,M.Sc in NeuroScience,3729272.8
108,USA,M.Sc,M.Sc in Environment,3729272.8
109,USA,M.Sc,M.Sc in Agriculture,2537353.2
110,USA,M.Sc,M.Sc in Forensic Science,1535142.4
111,USA,M.Sc,M.Sc in Botany,1808722.2
112,USA,M.Sc,M.Sc in Energy & Environment,2396319.8
113,USA,M.Sc,M.Sc in Zoology,2098277.5
114,USA,M.Sc,M.Sc in Mathematics,4397996.0
115,USA,M.Sc,M.Sc in Geology,3814641.8
116,CANADA,MBA,MBA in Executive MBA,2261903.8
117,CANADA,MBA,MBA in Banking,1735926.8
118,CANADA,MBA,MBA in Business Administration,3868254.5
119,CANADA,MBA,MBA in Hospital/Healthcare Management,2357658.8
120,CANADA,MBA,MBA in Human Resource Management,1675711.6
121,CANADA,MBA,MBA in International Business,1735926.8
122,CANADA,MBA,MBA in Entrepreneurship & Leadership Management,1735926.8
123,CANADA,MBA,MBA in Project Management,1557552.5
124,CANADA,MBA,MBA in Marketing,1387219.2
125,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1012792.75
126,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,994501.1
127,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,985478.06
128,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain,869712.75
129,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,2949682.2
130,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1507403.9
131,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,3729532.8
132,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,859339.3
133,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,890030.0
134,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,1103453.1
135,CANADA,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",767267.25
136,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,2739082.8
137,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism,1619240.8
138,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,3255975.2
139,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,2930224.2
140,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Leadership,1659138.8
141,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Public Relations Management,1074296.9
142,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports Management,3831425.8
143,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Stratergic Management,1103453.1
144,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Business Analytics,2785180.0
145,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Purchasing & resourcing,767267.25
146,CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,3831425.8
147,CANADA,M.ENG,M.ENG in Mechanical,3366155.0
148,CANADA,M.ENG,M.ENG in Electrical,978603.3
149,CANADA,M.ENG,M.ENG in Architecture,1069671.2
150,CANADA,M.ENG,M.ENG in Civil,1102471.0
151,CANADA,M.ENG,M.ENG in IT & Networking,1726719.6
152,CANADA,M.ENG,M.ENG in Chemical,3366155.0
153,CANADA,M.ENG,M.ENG in Computer Science Engineering,2802428.2
154,CANADA,M.ENG,M.ENG in Aerospace,3366155.0
155,CANADA,M.ENG,M.ENG in Agriculture,1069671.2
156,CANADA,M.ENG,M.ENG in Biomedical,528186.75
157,CANADA,M.ENG,M.ENG in Biology,681149.2
158,CANADA,M.ENG,M.ENG in Environmental,2963124.8
159,CANADA,M.ENG,M.ENG in Mining,1194972.8
160,CANADA,M.ENG,M.ENG in Industrial,1321234.2
161,CANADA,M.ENG,M.ENG in Nanotechnology,1961135.1
162,CANADA,M.ENG,M.ENG in Nuclear,1310369.8
163,CANADA,M.ENG,M.ENG in Software,3527096.8
164,CANADA,M.ENG,M.ENG in Textile,1068036.0
165,CANADA,M.Sc,M.Sc in Physics,3101854.0
166,CANADA,M.Sc,M.Sc in Chemistry,658853.9
167,CANADA,M.Sc,M.Sc in Biology,2635909.2
168,CANADA,M.Sc,M.Sc in Psychology ,720276.1
169,CANADA,M.Sc,M.Sc in Nursing,802501.7
170,CANADA,M.Sc,M.Sc in Environment,442980.9
171,CANADA,M.Sc,M.Sc in Agriculture,1821061.5
172,CANADA,M.Sc,M.Sc in Energy & Environment,1063314.8
173,CANADA,M.Sc,M.Sc in Zoology,1363635.5
174,CANADA,M.Sc,M.Sc in Mathematics,2808755.8
175,FRANCE,MBA,MBA in Sales & Marketing,2164886.8
176,FRANCE,MBA,MBA in Banking,893015.75
177,FRANCE,MBA,MBA in Business Administration,2836903.8
178,FRANCE,MBA,MBA in Hospital/Healthcare Management,856934.3
179,FRANCE,MBA,MBA in Human Resource Management,630523.25
180,FRANCE,MBA,MBA in Internal Business,2164886.8
181,FRANCE,MBA,MBA in Supply Chain & Logistics Management,1204218.2
182,FRANCE,MBA,MBA in Global Business Management,9200769.0
183,FRANCE,MBA,MBA in Entrepreneurship & Leadership Management,1082443.4
184,FRANCE,MBA,MBA in Tourism,802812.2
185,FRANCE,MBA,MBA in Business Engineer,1170842.9
186,FRANCE,MBA,MBA in Finance,981415.3
187,FRANCE,MBA,MBA in Accounting,893015.75
188,FRANCE,MBA,MBA in Project Management,1082443.4
189,FRANCE,MBA,MBA in Gastronomy,1649824.1
190,FRANCE,MBA,MBA in Information Technology,1469416.9
191,FRANCE,MBA,MBA in Leadership Management,3517941.0
192,FRANCE,MBA,MBA in Luxury Management,1249320.0
193,FRANCE,MBA,MBA in Wine Marketing & Management,978709.2
194,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,631792.0
195,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Management,1791581.6
196,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,2518142.5
197,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,1362865.6
198,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury & Brand,1252028.6
199,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing & E-Business,1916462.5
200,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain,1057670.4
201,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Corporate Finance,1057670.4
202,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,894951.8
203,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,1012470.75
204,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource ,1645265.0
205,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,1627185.1
206,FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Sports & Event Management,1572945.6
207,FRANCE,M.ENG,M.ENG in ME/M.TECH,786472.8
208,FRANCE,M.ENG,M.ENG in Electrical,813592.56
209,FRANCE,M.ENG,M.ENG in Architecture,1627185.1
210,FRANCE,M.ENG,M.ENG in Civil,451995.88
211,FRANCE,M.ENG,M.ENG in IT Engineering,922794.75
212,FRANCE,M.ENG,M.ENG in Computer Engineering,1242988.6
213,FRANCE,M.ENG,M.ENG in Aerospace,271197.53
214,FRANCE,M.ENG,M.ENG in Agriculture,645319.5
215,FRANCE,M.ENG,M.ENG in Biology,1397252.0
216,FRANCE,M.ENG,M.ENG in Biomedical,933440.3
217,FRANCE,M.ENG,M.ENG in Business Administration,1536041.0
218,FRANCE,M.ENG,M.ENG in Energy Engineering,342655.3
219,FRANCE,M.ENG,M.ENG in Food Technology,781654.0
220,FRANCE,M.ENG,"M.ENG in 
Industrial",454450.0
221,FRANCE,M.ENG,M.ENG in Materials,342655.3
222,FRANCE,M.ENG,M.ENG in Nuclear,1090680.0
223,FRANCE,M.ENG,M.ENG in Production,1136125.0
224,FRANCE,M.ENG,"M.ENG in 
Risk Management",1249737.5
225,FRANCE,M.ENG,M.ENG in Textile,2726700.0
226,FRANCE,M.ENG,M.ENG in Transportation,899811.0
227,FRANCE,M.Sc,M.Sc in Physics,1397252.0
228,FRANCE,M.Sc,M.Sc in Chemistry,45445.0
229,FRANCE,M.Sc,M.Sc in Biology,45445.0
230,FRANCE,M.Sc,M.Sc in Botany,2181360.0
231,FRANCE,M.Sc,M.Sc in Agriculture,3181150.0
232,FRANCE,M.Sc,M.Sc in Security Science,772565.0
233,FRANCE,M.Sc,M.Sc in Mathematics,363560.0
234,FRANCE,M.Sc,M.Sc in Business & Finance,1177025.5
235,CHINA,MBA,MBA in Finance & Accounting,632314300.0
236,CHINA,MBA,MBA in Business Administration,5580058.0
237,CHINA,MBA,MBA in International Business,1181726.0
238,CHINA,MBA,MBA in General Management,889021.56
239,CHINA,MBA,MBA in Global Business Management,1251175.1
240,CHINA,MBA,MBA in Executive MBA,1136843.9
241,CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,214962.05
