,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES
327,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,1606051.1
328,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,1606051.1
329,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,2040012.8
330,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,2312713.8
331,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Banking,2467419.0
332,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Accounting,2576674.2
333,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Communication,2107860.2
334,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Business Administration,2312713.8
335,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,2467419.0
336,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,1468389.6
337,AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Environment,1584200.1
338,AUSTRALIA,M.ENG,M.ENG in Mechanical,2258523.0
339,AUSTRALIA,M.ENG,M.ENG in Electrical,2281248.2
340,AUSTRALIA,M.ENG,M.ENG in Architecture,1627902.1
341,AUSTRALIA,M.ENG,M.ENG in Civil,2257430.5
342,AUSTRALIA,M.ENG,M.ENG in Chemical,1963097.1
343,AUSTRALIA,M.ENG,M.ENG in Computer Engineering,2125013.2
344,AUSTRALIA,M.ENG,M.ENG in Mining,1928353.9
345,AUSTRALIA,M.ENG,M.ENG in Aerospace,2125013.2
346,AUSTRALIA,M.ENG,M.ENG in Agriculture,2239731.2
347,AUSTRALIA,M.ENG,M.ENG in Biological,2258523.0
348,AUSTRALIA,M.ENG,M.ENG in Mechatronics,1928353.9
349,AUSTRALIA,M.ENG,M.ENG in Energy Engineering,1928353.9
350,AUSTRALIA,M.ENG,M.ENG in Food Technology,2255027.0
351,AUSTRALIA,M.ENG,M.ENG in Software,1928353.9
352,AUSTRALIA,M.Sc,M.Sc in Physics,1911965.6
353,AUSTRALIA,M.Sc,M.Sc in Chemistry,1518647.0
354,AUSTRALIA,M.Sc,M.Sc in Biology,2346801.2
355,AUSTRALIA,M.Sc,M.Sc in Psychology ,2256775.0
356,AUSTRALIA,M.Sc,M.Sc in Environment,2346801.2
357,AUSTRALIA,M.Sc,M.Sc in Agriculture,2181607.5
358,AUSTRALIA,M.Sc,M.Sc in Mathematics,2004832.5
359,AUSTRALIA,M.Sc,M.Sc in Communication,1811887.9
360,RUSSIA,MBA,MBA in Executive MBA,1158602.0
361,RUSSIA,MBA,MBA in Marketing,376483.0
362,RUSSIA,MBA,MBA in Finance,376483.0
363,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Marketing,209728.83
364,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Management,207017.98
365,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Finance,367861.28
366,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in International Business,494819.06
367,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Business Administration,138524.05
368,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Economics,456686.56
369,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Commerce,467981.72
370,RUSSIA,M.ENG,M.ENG in Electrical,373373.34
371,RUSSIA,M.ENG,M.ENG in Civil,369397.44
372,RUSSIA,M.ENG,M.ENG in Computer Engineering,316264.9
373,RUSSIA,M.ENG,M.ENG in Biology,271084.22
374,RUSSIA,M.ENG,M.ENG in Biomedical,292319.16
375,RUSSIA,M.ENG,M.ENG in Mechatronics,316264.9
376,RUSSIA,M.ENG,M.ENG in Nanotechnology,355120.34
377,RUSSIA,M.ENG,M.ENG in Nuclear,369397.44
378,RUSSIA,M.Sc,M.Sc in Physics,250120.38
379,RUSSIA,M.Sc,M.Sc in Chemistry,105632.48
380,RUSSIA,M.Sc,M.Sc in Biology,307228.78
381,RUSSIA,M.Sc,M.Sc in Psychology ,195993.89
382,RUSSIA,M.Sc,M.Sc in Mathematics,406174.53
383,SINGAPORE,MBA,MBA in Banking,1391179.2
384,SINGAPORE,MBA,MBA in Business Administration,2086768.9
385,SINGAPORE,MBA,MBA in Supplychain & Logistics Management,1623042.5
386,SINGAPORE,MBA,MBA in Executive MBA,5881710.5
387,SINGAPORE,MBA,MBA in Finance,1411610.5
388,SINGAPORE,MBA,MBA in Marketing,1457425.9
389,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1647683.8
390,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1552585.8
391,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain,1604778.2
392,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,1552585.8
393,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,1997057.4
394,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1647683.8
395,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,1454763.6
396,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Retail,684383.44
397,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1281903.2
398,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Aviation,1647683.8
399,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Accounting,2086768.9
400,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Commerce,4624881.5
401,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Operations,1647683.8
402,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Communication,1967586.9
403,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,650083.75
404,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,2057979.5
405,SINGAPORE,M.ENG,M.ENG in Mechanical,1666629.0
406,SINGAPORE,M.ENG,M.ENG in Electrical,744624.5
407,SINGAPORE,M.ENG,M.ENG in Architecture,1666629.0
408,SINGAPORE,M.ENG,M.ENG in Civil,2358875.5
409,SINGAPORE,M.ENG,M.ENG in Computer Engineering,2285756.5
410,SINGAPORE,M.ENG,M.ENG in Aerospace,1647683.8
411,SINGAPORE,M.ENG,M.ENG in Biomedical,1666629.0
412,SINGAPORE,M.ENG,M.ENG in Energy Engineering,2474280.8
413,SINGAPORE,M.ENG,M.ENG in Mechatronics,594362.3
414,SINGAPORE,M.Sc,M.Sc in Biology,817062.44
415,ITALY,MBA,MBA in Business Administration,904770.0
416,ITALY,MBA,MBA in International Business,1664776.0
417,ITALY,MBA,MBA in Operations,904770.0
418,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,102600.0
419,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1150324.0
420,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury & Brand,1221439.0
421,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Global Business Management,832388.0
422,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,264645.0
423,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,993437.0
424,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1311916.0
425,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1311916.5
426,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism Management,384527.25
427,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Operations,904770.0
428,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,1311916.0
429,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Communication,1872873.0
430,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,993437.44
431,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,1311916.5
432,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,121601.09
433,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Environment,121601.09
434,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Fashion Management,1890969.2
435,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury & Brand,1890969.2
436,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports,1311916.5
437,ITALY,M.ENG,M.ENG in Mechanical,904770.0
438,ITALY,M.ENG,M.ENG in Electrical,234878.3
439,ITALY,M.ENG,M.ENG in Architecture,904770.0
440,ITALY,M.ENG,M.ENG in Civil,264645.22
441,ITALY,M.ENG,M.ENG in IT & Networking,271431.0
